Station	Instrument	Longitude(DecDeg)	Latitude(DecDeg)	Time(ISO8601)	Depth(m)
FB-drifter_021_065	IgotU#9999	-55.391720	47.524920	2011-07-04T19:16:00	 10.
FB-drifter_021_065	IgotU#9999	-55.391540	47.524610	2011-07-04T19:21:00	 10.
FB-drifter_021_065	IgotU#9999	-55.391020	47.523680	2011-07-04T19:40:00	 10.
FB-drifter_021_065	IgotU#9999	-55.390820	47.523320	2011-07-04T19:44:00	 10.
FB-drifter_021_065	IgotU#9999	-55.390620	47.523040	2011-07-04T19:49:00	 10.
FB-drifter_021_065	IgotU#9999	-55.390460	47.522800	2011-07-04T19:54:00	 10.
FB-drifter_021_065	IgotU#9999	-55.390260	47.522570	2011-07-04T19:59:00	 10.
FB-drifter_021_065	IgotU#9999	-55.390020	47.522250	2011-07-04T20:03:00	 10.
FB-drifter_021_065	IgotU#9999	-55.389770	47.522020	2011-07-04T20:08:00	 10.
FB-drifter_021_065	IgotU#9999	-55.389560	47.521760	2011-07-04T20:13:00	 10.
FB-drifter_021_065	IgotU#9999	-55.389370	47.521530	2011-07-04T20:18:00	 10.
FB-drifter_021_065	IgotU#9999	-55.389100	47.521270	2011-07-04T20:22:00	 10.
FB-drifter_021_065	IgotU#9999	-55.388900	47.521090	2011-07-04T20:27:00	 10.
FB-drifter_021_065	IgotU#9999	-55.388640	47.520840	2011-07-04T20:32:00	 10.
FB-drifter_021_065	IgotU#9999	-55.388260	47.520540	2011-07-04T20:36:00	 10.
FB-drifter_021_065	IgotU#9999	-55.387950	47.520260	2011-07-04T20:41:00	 10.
FB-drifter_021_065	IgotU#9999	-55.387630	47.520030	2011-07-04T20:46:00	 10.
FB-drifter_021_065	IgotU#9999	-55.387310	47.519710	2011-07-04T20:51:00	 10.
FB-drifter_021_065	IgotU#9999	-55.386990	47.519360	2011-07-04T20:55:00	 10.
FB-drifter_021_065	IgotU#9999	-55.386670	47.519090	2011-07-04T21:00:00	 10.
FB-drifter_021_065	IgotU#9999	-55.386310	47.518920	2011-07-04T21:05:00	 10.
FB-drifter_021_065	IgotU#9999	-55.385970	47.518680	2011-07-04T21:10:00	 10.
FB-drifter_021_065	IgotU#9999	-55.385590	47.518480	2011-07-04T21:15:00	 10.
FB-drifter_021_065	IgotU#9999	-55.385210	47.518280	2011-07-04T21:20:00	 10.
FB-drifter_021_065	IgotU#9999	-55.384740	47.518020	2011-07-04T21:25:00	 10.
FB-drifter_021_065	IgotU#9999	-55.384380	47.517880	2011-07-04T21:30:00	 10.
FB-drifter_021_065	IgotU#9999	-55.383980	47.517680	2011-07-04T21:35:00	 10.
FB-drifter_021_065	IgotU#9999	-55.383470	47.517520	2011-07-04T21:40:00	 10.
FB-drifter_021_065	IgotU#9999	-55.382930	47.517350	2011-07-04T21:44:00	 10.
FB-drifter_021_065	IgotU#9999	-55.382400	47.517230	2011-07-04T21:49:00	 10.
FB-drifter_021_065	IgotU#9999	-55.381820	47.517150	2011-07-04T21:54:00	 10.
FB-drifter_021_065	IgotU#9999	-55.381200	47.517000	2011-07-04T21:58:00	 10.
FB-drifter_021_065	IgotU#9999	-55.380550	47.516830	2011-07-04T22:03:00	 10.
FB-drifter_021_065	IgotU#9999	-55.379880	47.516710	2011-07-04T22:08:00	 10.
FB-drifter_021_065	IgotU#9999	-55.379230	47.516620	2011-07-04T22:13:00	 10.
FB-drifter_021_065	IgotU#9999	-55.378520	47.516570	2011-07-04T22:17:00	 10.
FB-drifter_021_065	IgotU#9999	-55.377870	47.516570	2011-07-04T22:22:00	 10.
FB-drifter_021_065	IgotU#9999	-55.377140	47.516480	2011-07-04T22:27:00	 10.
FB-drifter_021_065	IgotU#9999	-55.376540	47.516560	2011-07-04T22:31:00	 10.
FB-drifter_021_065	IgotU#9999	-55.375890	47.516540	2011-07-04T22:36:00	 10.
FB-drifter_021_065	IgotU#9999	-55.375150	47.516570	2011-07-04T22:41:00	 10.
FB-drifter_021_065	IgotU#9999	-55.374510	47.516630	2011-07-04T22:46:00	 10.
FB-drifter_021_065	IgotU#9999	-55.373840	47.516690	2011-07-04T22:50:00	 10.
FB-drifter_021_065	IgotU#9999	-55.373180	47.516780	2011-07-04T22:55:00	 10.
FB-drifter_021_065	IgotU#9999	-55.372510	47.516850	2011-07-04T23:00:00	 10.
FB-drifter_021_065	IgotU#9999	-55.371840	47.516910	2011-07-04T23:04:00	 10.
FB-drifter_021_065	IgotU#9999	-55.371200	47.517010	2011-07-04T23:09:00	 10.
FB-drifter_021_065	IgotU#9999	-55.370640	47.517070	2011-07-04T23:14:00	 10.
FB-drifter_021_065	IgotU#9999	-55.370080	47.517150	2011-07-04T23:19:00	 10.
FB-drifter_021_065	IgotU#9999	-55.369520	47.517180	2011-07-04T23:23:00	 10.
FB-drifter_021_065	IgotU#9999	-55.369000	47.517330	2011-07-04T23:28:00	 10.
FB-drifter_021_065	IgotU#9999	-55.368650	47.517580	2011-07-04T23:33:00	 10.
